ISBN,Titulo,Autor,EjemplaresTotal,EjemplaresDisponibles
9780000000006,Crónica de una muerte anunciada,Gabriel García Márquez,5,5
9780000000028,Sobre héroes y tumbas,Ernesto Sabato,3,3
9780000000005,La casa de los espíritus,Isabel Allende,6,6
9780000000027,Travesuras de la niña mala,Mario Vargas Llosa,5,5
9780000000004,Don Juan Tenorio,José Zorrilla,3,3
9780000000026,El coronel no tiene quien le escriba,Gabriel García Márquez,4,4
9780000000003,Fortunata y Jacinta,Benito Pérez Galdós,4,4
9780000000025,El amor en los tiempos del cólera,Gabriel García Márquez,6,6
9780000000002,La sombra del viento,Carlos Ruiz Zafón,7,7
9780000000024,La casa verde,Mario Vargas Llosa,3,3
9780000000001,El Quijote,Miguel de Cervantes,5,5
9780000000023,La tía Julia y el escribidor,Mario Vargas Llosa,4,4
9780000000022,La fiesta del chivo,Mario Vargas Llosa,5,5
9780000000021,La ciudad y los perros,Mario Vargas Llosa,6,6
9780000000020,El túnel,Ernesto Sabato,5,5
9780000000019,Don Segundo Sombra,Ricardo Güiraldes,3,3
9780000000018,Luces de bohemia,Ramón María del Valle-Inclán,4,4
9780000000017,Niebla,Miguel de Unamuno,5,5
9780000000016,El camino,Miguel Delibes,3,3
9780000000015,El árbol de la ciencia,Pío Baroja,4,4
9780000000014,La Regenta,Leopoldo Alas Clarín,5,5
9780000000013,Los santos inocentes,Miguel Delibes,4,4
9780000000035,Gracias por el fuego,Mario Benedetti,3,3
9780000000012,La familia de Pascual Duarte,Camilo José Cela,5,5
9780000000034,La tregua,Mario Benedetti,5,5
9780000000011,Tiempo de silencio,Luis Martín-Santos,4,4
9780000000033,Veinte poemas de amor y una canción desesperada,Pablo Neruda,4,4
9780000000010,La colmena,Camilo José Cela,3,3
9780000000032,Residencia en la tierra,Pablo Neruda,5,5
9780000000031,Antología poética,Pablo Neruda,6,6
9780000000030,Ficciones,Jorge Luis Borges,5,5
9780000000009,Cien años de soledad,Gabriel García Márquez,6,6
9780000000008,Pedro Páramo,Juan Rulfo,4,4
9780000000007,Rayuela,Julio Cortázar,5,5
9780000000029,El Aleph,Jorge Luis Borges,4,4
